Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Taiwan,10241523,,19005.0,,10222518.0,,0.0,,428720.0,796,30742304.0,1286903.0,23888595.0,Asia,2.0,1257.0,1.0,,,
Argentina,10094643,,130733.0,,9963910.0,,0.0,,219400.0,2841,35716069.0,776264.0,46010234.0,South America,5.0,352.0,1.0,,,
Netherlands,8634822,,22992.0,,8611480.0,,350.0,,501691.0,1336,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,20
Mexico,7702809,,334958.0,,6899865.0,,467986.0,,58549.0,2546,20013810.0,152124.0,131562772.0,North America,17.0,393.0,7.0,,,3557
Iran,7626527,,146799.0,,,,,,88657.0,1707,57320267.0,666338.0,86022837.0,Asia,11.0,586.0,2.0,,,1191
Indonesia,6829087,,162062.0,,6647104.0,,19921.0,,24465.0,581,114158919.0,408975.0,279134505.0,Asia,41.0,1722.0,2.0,,,71
Poland,6661018,7.0,120581.0,,,,,,176499.0,3195,39295583.0,1041224.0,37739785.0,Europe,6.0,313.0,1.0,0.2,,31916
Colombia,6400173,,143200.0,,6212152.0,,44821.0,342.0,124244.0,2780,36951507.0,717327.0,51512762.0,South America,8.0,360.0,1.0,,,870
Greece,6101379,,37869.0,,,,,,591412.0,3671,102228365.0,9909078.0,10316637.0,Europe,2.0,272.0,0.0,,,
Austria,6081287,,22542.0,,6054934.0,,3811.0,,670727.0,2486,211273524.0,23302116.0,9066710.0,Europe,1.0,402.0,0.0,,,420
Portugal,5642449,,28103.0,,5614102.0,,244.0,61.0,556423.0,2771,46139518.0,4549993.0,10140570.0,Europe,2.0,361.0,0.0,,,24
Ukraine,5557995,,112418.0,,5445577.0,,0.0,,128681.0,2603,32603805.0,754855.0,43192122.0,Europe,8.0,384.0,1.0,,,
Chile,5369761,,64497.0,,5252450.0,,52814.0,7.0,278946.0,3350,50382097.0,2617225.0,19250195.0,South America,4.0,298.0,0.0,,,2744
